,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,group_id_anonymized,lang,message_text,phone_num_anonymized,timestamp,translated
0,0,0,0,4.0,4.0,577,hi,*लघु सिंचाई*  निःशुल्क बोरिंग योजना हेतु 55 करोड़ रुपये की व्यवस्था प्रस्तावित। मध्यम गहरे नलकूप योजना के अंतर्गत 70 करोड़ रुपये की व्यवस्था प्रस्तावित।  प्रदेश के पठारी क्षेत्रों में सिंचाई हेतु सामुदायिक ब्लास्ट कूपों के निर्माण तथा जीर्णोंद्धार हेतु 20 करोड़ रुपये की व्यवस्था़ प्रस्तावित।,178320,1549559608000,* Provision of Rs. 55 crore for minor irrigation * Free boring scheme. A provision of Rs 70 crore proposed under the medium deep tubewell scheme. A provision of 20 crore rupees for construction and restoration of community blast wells in the plateau areas of the state.  
1,1,1,1,9.0,9.0,2037,hi,"*📰FR62* *👉दिल्ली-एनसीआर में शिमला जैसी बर्फबारी, देखें तस्वीरें📸*  स्लाइड शो को चालू करने के लिए टाइप करें FR62 ",39877,1549559738000,"* 📰  📰FR62 👉  * * Shimla-like snowfall in Delhi-NCR, see photos📸 📸  * Type FR62 to turn on the slideshow  "
2,2,2,2,10.0,10.0,3634,hi,"कल मैने एक आदमी से लिफ्ट माँगा उसके बाद धन्यवाद बोला तो उसने कहा thank you मत बोलो, बस 3 लोगो से कहना कि ""मोदी को वोट न दे"" ।  दिल जीत लिया पगले ने। 😍😁😎😎😀भाईजी  मेने तो कर दीया अपना काम अब आप 3 गरूप मे बोलो",198635,1549559843000,"Yesterday I asked for a lift from a man, after that he said thank you, then he said thank you don't say, just say to 3 people ""Don't vote for Modi"". Pagle 😀  😎  😎  😁  😍  won the heart. Brother, I have done your work, now you speak in 3 forms.  "
3,3,3,3,11.0,11.0,2284,hi,"कल मैने एक आदमी से लिफ्ट माँगा उसके बाद धन्यवाद बोला तो उसने कहा thank you मत बोलो, बस 3 लोगो से कहना कि ""मोदी को वोट न दे"" ।  दिल जीत लिया पगले ने। 😍😁😎😎😀भाईजी  मेने तो कर दीया अपना काम अब आप 3 गरूप मे बोलो",198635,1549559851000,"Yesterday I asked for a lift from a man, after that he said thank you, then he said thank you don't say, just say to 3 people ""Don't vote for Modi"". Pagle 😀  😎  😎  😁  😍  won the heart. Brother, I have done your work, now you speak in 3 forms.  "
4,4,4,4,13.0,13.0,3700,te,సర్వేలు సూసి మురిసి పోవద్దు మిత్రులు బాబు జిత్తుల మారి నక్క అధికారం కోశం కాళ్ల బేరం ఆడతాడు,153553,1549559896000,Surveys Don't Surprise Friends  
5,5,5,5,14.0,14.0,1116,hi,"*📰FR62* *👉दिल्ली-एनसीआर में शिमला जैसी बर्फबारी, देखें तस्वीरें📸*  स्लाइड शो को चालू करने के लिए टाइप करें FR62 ",194857,1549559902000,"* 📰  📰FR62 👉  * * Shimla-like snowfall in Delhi-NCR, see photos📸 📸  * Type FR62 to turn on the slideshow  "
6,6,6,6,15.0,15.0,4957,ml,Yes. വിശ്വാസവും ആചാരവും സംരക്ഷിക്കുമെന്ന് സത്യം ചെയ്തിട്ടുണ്ടാകും. അന്ധവിശ്വാസവും അനാചാരവും സംരക്ഷിച്ചു കൊള്ളാമെന്ന് സത്യം ചെയ്തിട്ടില്ല,166939,1549559916000,Yes. It may have been sworn to protect faith and practice. Neither does swearing preserve superstition and immorality  
7,7,7,7,16.0,16.0,4957,ml,വിശ്വാസങ്ങളെല്ലാം അന്ധമാണ് ഹേ..,166842,1549559971000,All faiths are blind.  
8,8,8,8,17.0,17.0,1116,hi,*श्री ओम बन्ना टाइगर फोर्स के राष्ट्रीय संस्थापक अध्यक्ष माधु सिंह ऊदट का संदेश राजपूत समाज को सन्देश* आप सभी युवा साथियों से निवेदन है अगर आपको यह संदेश अच्छा लगे तो यह रिकॉर्डिंग हर उस राजपूत तक पहुंचने चाहिए हो सकता है ऐसे सुविचारों से ऐसे सराहनीय कदम उठाने से समाज में एक अच्छी पहल होगी धन्य है ऐसे विचार समाज के बीच में रखे आप सभी से निवेदन है *आगे से आगे शेयर जरूर करें जितने भी आपके पास ग्रुप है जितने भी नंबर है सभी तक पहुचाये।*,176939,1549559977000,"* Message of Madhu Singh Oudat, National Founder President of Shri Om Banna Tiger Force, message to Rajput society * I request all of you young colleagues, if you like this message, then this recording should reach every Rajput. Taking steps will be a good initiative in the society, thank you, you are requested to keep such ideas in the middle of the society. He has a group that can reach all the numbers. *  "
9,9,9,9,18.0,18.0,777,hi,अबे ये ग्रुप परम आदर्श नही है ।😄😄,114748,1549560028000,Abe this group is not the ultimate 😄  😄  ideal.  
10,10,10,10,20.0,20.0,577,hi,"*अवस्थापना एवं औद्योगिक विकास*  एक्सप्रेस-वे के निर्माण के लिए कुल 3194 करोड़ रूपये की व्यवस्था, जिसमें पूर्वांचल एक्सप्रेस-वे हेतु 1194 करोड़ रूपये, बुंदेलखण्ड एक्सप्रेस-वे हेतु 1,000 करोड़ रुपये तथा गोरखपुर लिंक एक्सप्रेस-वे हेतु 1,000 करोड़ रुपये की व्यवस्था प्रस्तावित।  बुन्देलखण्ड एक्सप्रेस-वे के साथ डिफेन्स काॅरिडोर विकसित किये जाने के लिए भूमि अधिग्रहण हेतु 500 करोड़ रुपये की बजट व्यवस्था।  आगरा-लखनऊ प्रवेश नियंत्रित 06 लेन एक्सप्रेस-वे (ग्रीन फील्ड) परियोजना के सुदृढ़ीकरण हेतु 100 करोड़ रुपये की व्यवस्था।  अवस्थापना एवं औद्योगिक निवेश नीति, 2012 के क्रियान्वयन हेतु 600 करोड़ रुपये की व्यवस्था प्रस्तावित।  नई औद्योगिक नीति 'औद्योगिक निवेश एवं रोजगार प्रोत्साहन नीति, 2017' हेतु 482 करोड़ रुपये की व्यवस्था प्रस्तावित।  औद्योगिक निवेश प्रोत्साहन योजना, 2003 हेतु 120 करोड़ रुपये की व्यवस्था।  औद्योगिक निवेश प्रोत्साहन योजना, 2012 हेतु 180 करोड़ रुपये की व्यवस्था।",178320,1549560085000,"* Infrastructure and industrial development * A total of Rs 3194 crore for the construction of the expressway, including Rs 1194 crore for the Purvanchal Expressway, Rs 1,000 crore for the Bundelkhand Expressway and Rs 1,000 crore for the Gorakhpur Link Expressway. as proposed. A budget provision of Rs 500 crore for land acquisition for developing defense corridor along the Bundelkhand Expressway. A provision of Rs 100 crore for the strengthening of the Agra-Lucknow Entrance Controlled 06 Lane Expressway (Green Field) Project. A provision of Rs. 600 crore for the implementation of the Infrastructure and Industrial Investment Policy, 2012. A provision of Rs 482 crore for the new Industrial Policy 'Industrial Investment and Employment Promotion Policy, 2017' proposed. 120 crore for Industrial Investment Promotion Scheme, 2003. A provision of Rs 180 crore for the Industrial Investment Promotion Scheme, 2012.  "
11,11,11,11,21.0,21.0,1116,hi,"*गांव से शहर गये एक किसान ने शराब पीती लड़कियों और लड़को के हाथों में हाथ डाल के डांस करते हुए देखा तो अकेले में क्या खुब फरमाया - "" मेरे गाँव में तो सिर्फ फसल खराब है यहाँ तो इंसानियत की नस्लें ही खराब है........... * *I am proud that I am a villager.* *ठाकुर प्रतापसिंह*",47914,1549560101000,"* A farmer who went to the city from the village, put his hands in the hands of drunk girls and boys and saw the dance, in a lonely manner, “In my village, only the crop is bad, here the human race is bad… ........ * * I am proud that I am a villager. * * Thakur Pratapsingh *  "
12,12,12,12,23.0,23.0,1116,hi,शोल घाटी में एक औरत ने फाशी लगाई दिनाक7/2/2019,31216,1549560161000,7/2/2019 A woman put a fati in Shola valley  
